HOG,OG,Gene Tree Parent Clade,A_aulacocarpa_prot,A_thaliana_prot,A_trichopoda_prot,C_sativus_prot,E_grandis_prot,G_maderense_prot,G_raimondii_prot,H_annuus_prot,L_chinense_prot,L_siphilitica_prot,M_acuminata_prot,O_biennis_prot,O_sativa_prot,P_maritima_prot,P_persica_prot,P_trichocarpa_prot,S_lycopersicum_prot,S_noctiflora_prot,S_polyrhiza_prot,V_vinifera_prot
N1.HOG0000000,OG0000000,n5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
N1.HOG0000001,OG0000000,n9,0,3,1,2,2,0,4,2,0,1,7,3,2,4,1,3,2,0,1,2
N1.HOG0000002,OG0000000,n48,0,4,0,1,2,1,3,0,0,1,12,0,3,1,2,4,1,2,1,1
N1.HOG0000003,OG0000000,n87,0,1,1,0,4,1,4,0,0,1,4,3,0,1,4,5,1,0,2,4
N1.HOG0000004,OG0000000,n125,0,1,4,0,3,0,3,0,0,1,4,1,1,0,0,6,1,0,1,2
N1.HOG0000005,OG0000000,n153,0,0,1,1,2,0,5,3,0,0,0,0,0,2,2,5,3,0,0,1
N1.HOG0000006,OG0000000,n178,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
N1.HOG0000007,OG0000000,n181,0,0,1,1,7,0,6,0,0,0,4,2,0,0,3,5,0,0,0,3
N1.HOG0000008,OG0000000,n212,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000009,OG0000000,n213,0,1,3,0,10,1,5,3,0,1,8,4,2,0,8,2,0,0,4,8
N1.HOG0000010,OG0000000,n272,0,8,1,2,19,1,8,1,0,1,0,2,0,0,11,9,5,0,9,17
N1.HOG0000011,OG0000000,n365,0,3,0,2,2,1,4,2,0,1,2,0,1,0,1,3,2,0,1,2
N1.HOG0000012,OG0000000,n392,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,1,0
N1.HOG0000013,OG0000000,n401,1,3,1,5,10,3,9,14,0,0,7,1,3,1,5,7,11,1,3,6
N1.HOG0000014,OG0000000,n496,1,3,1,2,3,0,3,3,0,0,4,1,2,0,1,1,2,0,1,1
N1.HOG0000015,OG0000000,n526,0,2,1,3,2,0,5,1,0,0,3,0,1,0,2,4,2,0,0,2
N1.HOG0000016,OG0000000,n553,0,1,1,1,2,0,3,2,0,0,2,0,0,0,1,2,2,0,0,0
N1.HOG0000017,OG0000000,n571,0,0,1,2,1,0,0,2,0,0,5,0,3,0,1,2,2,0,0,1
N1.HOG0000018,OG0000000,n590,1,4,1,2,4,1,4,2,0,1,14,2,2,0,1,5,2,0,3,3
N1.HOG0000019,OG0000000,n643,1,1,1,1,1,0,2,3,0,0,2,0,1,0,2,2,1,0,0,1
N1.HOG0000020,OG0000000,n661,0,2,1,2,2,0,3,3,0,1,4,0,2,0,3,6,3,0,1,3
N1.HOG0000021,OG0000000,n696,0,7,1,4,2,0,7,8,0,1,5,1,4,1,5,8,4,0,2,3
N1.HOG0000022,OG0000000,n758,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
N1.HOG0000023,OG0000000,n765,0,2,1,2,1,1,6,4,0,1,4,2,3,0,3,4,3,0,2,3
N1.HOG0000024,OG0000000,n807,0,3,1,3,4,1,7,4,0,0,3,0,1,0,3,6,4,0,0,3
N1.HOG0000025,OG0000000,n853,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
N1.HOG0000026,OG0000000,n855,0,5,1,3,4,0,11,2,0,0,10,0,4,0,3,7,5,0,2,5
N1.HOG0000027,OG0000000,n917,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000028,OG0000000,n920,0,1,2,2,2,0,1,2,0,0,1,0,1,0,2,3,3,0,2,2
N1.HOG0000029,OG0000000,n943,0,4,1,4,4,0,8,6,0,1,10,0,5,1,3,6,3,0,2,3
N1.HOG0000030,OG0000000,n1003,0,1,0,1,2,0,2,1,0,1,2,1,2,2,1,4,2,0,0,2
N1.HOG0000031,OG0000001,n2,0,0,1,0,0,0,1,93,0,0,0,0,3,3,0,0,0,0,0,0
N1.HOG0000032,OG0000001,n102,0,0,1,0,0,0,1,446,0,0,0,0,1,0,0,0,0,0,0,0
N1.HOG0000033,OG0000001,n550,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000034,OG0000002,n2,0,2,0,3,14,1,3,9,0,3,0,1,0,0,10,5,4,0,0,8
N1.HOG0000035,OG0000002,n67,0,0,0,0,1,0,0,2,0,0,8,0,3,4,0,1,1,0,0,3
N1.HOG0000036,OG0000002,n90,0,1,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
N1.HOG0000037,OG0000002,n100,0,1,1,2,6,0,2,0,0,0,7,3,5,0,0,2,0,1,14,2
N1.HOG0000038,OG0000002,n145,0,0,0,0,2,0,0,7,0,2,1,7,11,0,5,1,3,1,4,0
N1.HOG0000039,OG0000002,n188,0,7,1,16,67,2,13,77,0,30,10,12,8,18,29,63,32,2,28,35
N1.HOG0000040,OG0000003,n2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
N1.HOG0000041,OG0000003,n5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
N1.HOG0000042,OG0000003,n11,1,2,0,1,0,0,4,0,0,0,0,1,0,0,1,1,1,2,1,1
N1.HOG0000043,OG0000003,n27,0,0,0,2,2,0,0,2,0,1,0,0,2,1,0,0,2,0,0,0
N1.HOG0000044,OG0000003,n43,0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0
N1.HOG0000045,OG0000003,n52,0,1,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
N1.HOG0000046,OG0000003,n62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
N1.HOG0000047,OG0000003,n64,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
N1.HOG0000048,OG0000003,n70,0,1,0,1,0,0,1,3,0,1,0,0,0,1,0,2,3,0,0,1
N1.HOG0000049,OG0000003,n84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N1.HOG0000050,OG0000003,n88,0,2,0,0,1,0,3,0,0,0,0,1,0,0,1,2,0,1,1,0
N1.HOG0000051,OG0000003,n103,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0
N1.HOG0000052,OG0000003,n109,0,3,2,3,3,0,5,1,0,0,3,0,3,0,2,5,3,0,1,1
N1.HOG0000053,OG0000003,n143,0,2,1,2,1,1,3,0,0,0,0,0,1,0,1,2,1,0,1,1
N1.HOG0000054,OG0000003,n160,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000055,OG0000003,n162,0,1,1,1,1,0,2,1,0,0,0,0,0,0,1,2,1,0,2,1
N1.HOG0000056,OG0000003,n179,1,1,1,1,1,0,2,1,0,1,4,1,3,1,1,2,1,0,3,1
N1.HOG0000057,OG0000003,n205,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
N1.HOG0000058,OG0000003,n210,1,1,1,1,1,0,2,5,0,1,0,0,0,1,1,2,1,0,0,1
N1.HOG0000059,OG0000003,n228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N1.HOG0000060,OG0000003,n229,1,7,1,8,6,0,12,10,0,1,11,1,10,1,7,9,12,0,6,4
N1.HOG0000061,OG0000003,n337,0,4,2,4,7,0,13,0,0,0,3,0,7,0,4,7,7,0,2,4
N1.HOG0000062,OG0000003,n402,1,0,1,0,2,0,2,1,0,0,2,0,1,0,1,2,1,0,0,1
N1.HOG0000063,OG0000003,n416,0,3,2,4,15,0,19,10,0,3,7,1,2,2,6,8,11,1,0,5
N1.HOG0000064,OG0000003,n514,2,6,1,4,5,1,9,3,0,5,4,3,1,5,4,6,7,1,2,13
N1.HOG0000065,OG0000003,n595,1,1,1,1,0,0,1,2,0,0,7,0,1,1,2,4,1,0,2,2
N1.HOG0000066,OG0000003,n621,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
N1.HOG0000067,OG0000003,n624,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
N1.HOG0000068,OG0000004,n2,0,16,1,1,14,1,2,26,0,1,4,0,13,9,6,1,10,1,1,3
N1.HOG0000069,OG0000004,n112,1,36,10,20,20,3,19,21,0,8,7,5,8,14,9,19,10,0,7,13
