HOG	OG	Gene Tree Parent Clade	A_aulacocarpa_prot	A_thaliana_prot	A_trichopoda_prot	C_sativus_prot	E_grandis_prot	G_maderense_prot	G_raimondii_prot	H_annuus_prot	L_chinense_prot	L_siphilitica_prot	M_acuminata_prot	O_biennis_prot	O_sativa_prot	P_maritima_prot	P_persica_prot	P_trichocarpa_prot	S_lycopersicum_prot	S_noctiflora_prot	S_polyrhiza_prot	V_vinifera_prot
N1.HOG0014288	OG0010286	n0			A_trichopoda__evm_27.model.AmTr_v1.0_scaffold00143.4	C_sativus__Cucsa.283110.1	E_grandis__Eucgr.G02222.1.p		G_raimondii__Gorai.012G123600.1	H_annuus__Ha15_00038505		L_siphilitica__11104	M_acuminata__GSMUA_Achr8P31580_001, M_acuminata__GSMUA_Achr8P31590_001	O_biennis__13071	O_sativa__LOC_Os01g32184.1	P_maritima__119158	P_persica__Prupe.1G321400.1.p	P_trichocarpa__Potri.010G116200.1	S_lycopersicum__Solyc05g008420.2.1	S_noctiflora__Gene.66564TR30848|c0_g1_i1	S_polyrhiza__Spipo14G0039200	V_vinifera__GSVIVT01011792001
N1.HOG0014409	OG0010403	n0		A_thaliana__AT1G56180.1	A_trichopoda__evm_27.model.AmTr_v1.0_scaffold00062.185	C_sativus__Cucsa.239830.1	E_grandis__Eucgr.F01475.1.p		G_raimondii__Gorai.009G354200.1	H_annuus__Ha8_00042731		L_siphilitica__63266	M_acuminata__GSMUA_Achr1P25770_001	O_biennis__15319	O_sativa__LOC_Os02g07250.1	P_maritima__19806	P_persica__Prupe.4G133700.1.p	P_trichocarpa__Potri.010G171400.1	S_lycopersicum__Solyc07g066620.2.1		S_polyrhiza__Spipo8G0019900	V_vinifera__GSVIVT01036771001
N1.HOG0014770	OG0010759	n0		A_thaliana__AT1G30290.1	A_trichopoda__evm_27.model.AmTr_v1.0_scaffold00092.60	C_sativus__Cucsa.047970.1	E_grandis__Eucgr.E02454.1.p		G_raimondii__Gorai.011G048000.1	H_annuus__Ha4_00025387		L_siphilitica__56181	M_acuminata__GSMUA_Achr5P02490_001	O_biennis__52873	O_sativa__LOC_Os12g42120.1		P_persica__Prupe.4G085500.1.p	P_trichocarpa__Potri.011G082300.1	S_lycopersicum__Solyc08g023490.2.1		S_polyrhiza__Spipo8G0027500	V_vinifera__GSVIVT01021547001
N1.HOG0014817	OG0010806	n0		A_thaliana__AT2G35540.1	A_trichopoda__evm_27.model.AmTr_v1.0_scaffold00048.52	C_sativus__Cucsa.322130.1	E_grandis__Eucgr.D02230.1.p		G_raimondii__Gorai.004G181800.1	H_annuus__Ha6_00048276		L_siphilitica__63122	M_acuminata__GSMUA_Achr4P05630_001	O_biennis__54597	O_sativa__LOC_Os06g02170.1		P_persica__Prupe.8G141600.1.p	P_trichocarpa__Potri.003G097800.1	S_lycopersicum__Solyc08g005300.1.1		S_polyrhiza__Spipo5G0067800	V_vinifera__GSVIVT01013048001
N1.HOG0014904	OG0010892	n0		A_thaliana__AT5G03770.1	A_trichopoda__evm_27.model.AmTr_v1.0_scaffold00040.270	C_sativus__Cucsa.039090.1	E_grandis__Eucgr.A01566.1.p	G_maderense__g.77093comp36990_c0_seq1	G_raimondii__Gorai.009G409200.1			L_siphilitica__1982	M_acuminata__GSMUA_Achr3P22860_001		O_sativa__LOC_Os01g63840.1	P_maritima__26852	P_persica__Prupe.7G120300.1.p	P_trichocarpa__Potri.016G095900.1	S_lycopersicum__Solyc10g083710.1.1		S_polyrhiza__Spipo23G0009400	V_vinifera__GSVIVT01033751001
